variable,type,var,tab_1,f_1,f_2,f_3,f_4,metric,export_1
disp_click,2,Display,Display,,,,,m_3,Display_Click
disp_imp,2,Display,Display,,,,,m_2,Display_Impression
disp_spd,2,Display,Display,,,,,m_1,Display_Spend
local_mobile_clk,2,Local Mobile,Local Mobile,,,,,m_3,Local Mobile_Click
local_mobile_imp,2,Local Mobile,Local Mobile,,,,,m_2,Local Mobile_Impression
local_mobile_spd,2,Local Mobile,Local Mobile,,,,,m_1,Local Mobile_Spend
lr_grp,2,Local Radio,Local Radio,,,,,m_3,Local Radio_GRP
lr_imp,2,Local Radio,Local Radio,,,,,m_2,Local Radio_Impression
lr_spd,2,Local Radio,Local Radio,,,,,m_1,Local Radio_Spend
lt_grp,2,Local TV,Local TV,,,,,m_3,Local TV_GRP
lt_imp,2,Local TV,Local TV,,,,,m_2,Local TV_Impression
lt_spd,2,Local TV,Local TV,,,,,m_1,Local TV_Spend
mag_grp,2,Magazine,Magazine,,,,,m_3,Magazine_GRP
mag_imp,2,Magazine,Magazine,,,,,m_2,Magazine_Impression
mag_spd,2,Magazine,Magazine,,,,,m_1,Magazine_Spend
nr_dgt_grp,2,Network Radio,Network Radio,Digital,,,,m_3,Network Radio_Digital_GRP
nr_dgt_imp,2,Network Radio,Network Radio,Digital,,,,m_2,Network Radio_Digital_Impression
nr_dgt_spd,2,Network Radio,Network Radio,Digital,,,,m_1,Network Radio_Digital_Spend
nr_terr_grp,2,Network Radio,Network Radio,Territail,,,,m_3,Network Radio_Territail_GRP
nr_terr_imp,2,Network Radio,Network Radio,Territail,,,,m_2,Network Radio_Territail_Impression
nr_terr_spd,2,Network Radio,Network Radio,Territail,,,,m_1,Network Radio_Territail_Spend
nt_imp,2,National TV,National TV,,,,,m_2,National TV_Impression
nt_spd,2,National TV,National TV,,,,,m_1,National TV_Spend
ooh_imp,2,OOH,OOH,,,,,m_2,OOH_Impression
ooh_spd,2,OOH,OOH,,,,,m_1,OOH_Spend
psch_clk_dsktp_pla_br,2,Search,Search,Desktop,PLA,Brand,,m_3,Search_Desktop_PLA_Brand_Click
psch_clk_dsktp_pla_nbr,2,Search,Search,Desktop,PLA,Non-Brand,,m_3,Search_Desktop_PLA_Non-Brand_Click
psch_clk_dsktp_reg_br,2,Search,Search,Desktop,Regular,Brand,,m_3,Search_Desktop_Regular_Brand_Click
psch_clk_dsktp_reg_nbr,2,Search,Search,Desktop,Regular,Non-Brand,,m_3,Search_Desktop_Regular_Non-Brand_Click
psch_clk_mo_pla_br,2,Search,Search,Mobile,PLA,Brand,,m_3,Search_Mobile_PLA_Brand_Click
psch_clk_mo_pla_nbr,2,Search,Search,Mobile,PLA,Non-Brand,,m_3,Search_Mobile_PLA_Non-Brand_Click
psch_clk_mo_reg_br,2,Search,Search,Mobile,Regular,Brand,,m_3,Search_Mobile_Regular_Brand_Click
psch_clk_mo_reg_nbr,2,Search,Search,Mobile,Regular,Non-Brand,,m_3,Search_Mobile_Regular_Non-Brand_Click
psch_clk_tblt_pla_br,2,Search,Search,Tablet,PLA,Brand,,m_3,Search_Tablet_PLA_Brand_Click
psch_clk_tblt_pla_nbr,2,Search,Search,Tablet,PLA,Non-Brand,,m_3,Search_Tablet_PLA_Non-Brand_Click
psch_clk_tblt_reg_br,2,Search,Search,Tablet,Regular,Brand,,m_3,Search_Tablet_Regular_Brand_Click
psch_clk_tblt_reg_nbr,2,Search,Search,Tablet,Regular,Non-Brand,,m_3,Search_Tablet_Regular_Non-Brand_Click
psch_imp_dsktp_pla_br,2,Search,Search,Desktop,PLA,Brand,,m_2,Search_Desktop_PLA_Brand_Impression
psch_imp_dsktp_pla_nbr,2,Search,Search,Desktop,PLA,Non-Brand,,m_2,Search_Desktop_PLA_Non-Brand_Impression
psch_imp_dsktp_reg_br,2,Search,Search,Desktop,Regular,Brand,,m_2,Search_Desktop_Regular_Brand_Impression
psch_imp_dsktp_reg_nbr,2,Search,Search,Desktop,Regular,Non-Brand,,m_2,Search_Desktop_Regular_Non-Brand_Impression
psch_imp_mo_pla_br,2,Search,Search,Mobile,PLA,Brand,,m_2,Search_Mobile_PLA_Brand_Impression
psch_imp_mo_pla_nbr,2,Search,Search,Mobile,PLA,Non-Brand,,m_2,Search_Mobile_PLA_Non-Brand_Impression
psch_imp_mo_reg_br,2,Search,Search,Mobile,Regular,Brand,,m_2,Search_Mobile_Regular_Brand_Impression
psch_imp_mo_reg_nbr,2,Search,Search,Mobile,Regular,Non-Brand,,m_2,Search_Mobile_Regular_Non-Brand_Impression
psch_imp_tblt_pla_br,2,Search,Search,Tablet,PLA,Brand,,m_2,Search_Tablet_PLA_Brand_Impression
psch_imp_tblt_pla_nbr,2,Search,Search,Tablet,PLA,Non-Brand,,m_2,Search_Tablet_PLA_Non-Brand_Impression
psch_imp_tblt_reg_br,2,Search,Search,Tablet,Regular,Brand,,m_2,Search_Tablet_Regular_Brand_Impression
psch_imp_tblt_reg_nbr,2,Search,Search,Tablet,Regular,Non-Brand,,m_2,Search_Tablet_Regular_Non-Brand_Impression
psch_spd_dsktp_pla_br,2,Search,Search,Desktop,PLA,Brand,,m_1,Search_Desktop_PLA_Brand_Spend
psch_spd_dsktp_pla_nbr,2,Search,Search,Desktop,PLA,Non-Brand,,m_1,Search_Desktop_PLA_Non-Brand_Spend
psch_spd_dsktp_reg_br,2,Search,Search,Desktop,Regular,Brand,,m_1,Search_Desktop_Regular_Brand_Spend
psch_spd_dsktp_reg_nbr,2,Search,Search,Desktop,Regular,Non-Brand,,m_1,Search_Desktop_Regular_Non-Brand_Spend
psch_spd_mo_pla_br,2,Search,Search,Mobile,PLA,Brand,,m_1,Search_Mobile_PLA_Brand_Spend
psch_spd_mo_pla_nbr,2,Search,Search,Mobile,PLA,Non-Brand,,m_1,Search_Mobile_PLA_Non-Brand_Spend
psch_spd_mo_reg_br,2,Search,Search,Mobile,Regular,Brand,,m_1,Search_Mobile_Regular_Brand_Spend
psch_spd_mo_reg_nbr,2,Search,Search,Mobile,Regular,Non-Brand,,m_1,Search_Mobile_Regular_Non-Brand_Spend
psch_spd_tblt_pla_br,2,Search,Search,Tablet,PLA,Brand,,m_1,Search_Tablet_PLA_Brand_Spend
psch_spd_tblt_pla_nbr,2,Search,Search,Tablet,PLA,Non-Brand,,m_1,Search_Tablet_PLA_Non-Brand_Spend
psch_spd_tblt_reg_br,2,Search,Search,Tablet,Regular,Brand,,m_1,Search_Tablet_Regular_Brand_Spend
psch_spd_tblt_reg_nbr,2,Search,Search,Tablet,Regular,Non-Brand,,m_1,Search_Tablet_Regular_Non-Brand_Spend
Tab_Circ_Midweek,2,Tab,Tab,Midweek,,,,m_2,Tab_Midweek_circ
Tab_Circ_Other,2,Tab,Tab,Other,,,,m_2,Tab_Other_circ
Tab_Circ_ROP,2,Tab,Tab,ROP,,,,m_2,Tab_ROP_circ
Tab_Circ_Sunday,2,Tab,Tab,Sunday,,,,m_2,Tab_Sunday_circ
Tab_Circ_Weekend,2,Tab,Tab,Weekend,,,,m_2,Tab_Weekend_circ
Tab_Spend_Midweek,2,Tab,Tab,Midweek,,,,m_1,Tab_Midweek_Spend
Tab_Spend_Other,2,Tab,Tab,Other,,,,m_1,Tab_Other_Spend
Tab_Spend_ROP,2,Tab,Tab,ROP,,,,m_1,Tab_ROP_Spend
Tab_Spend_Sunday,2,Tab,Tab,Sunday,,,,m_1,Tab_Sunday_Spend
Tab_Spend_Weekend,2,Tab,Tab,Weekend,,,,m_1,Tab_Weekend_Spend
ex_nloy_nkc_other_reg,1,Sales - Other,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_2,Sales - Other_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_dcp_reg,1,Discount Cherry Picker,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_2,Discount Cherry Picker_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_fsloy_reg,1,Kohl's Full Store Loyalist,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_2,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_iseth_reg,1,Kohl's In-Store Enthusiast,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_2,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_kids_reg,1,Kohl's Kids,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_2,Kohl's Kids_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_mens_reg,1,Kohl's Mens,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_2,Kohl's Mens_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_oleth_reg,1,Kohl's Online Enthusiast,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_2,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_missex_reg,1,Misses Exclusive,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_2,Misses Exclusive_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_ocbb_reg,1,Occasional Big Basket,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_2,Occasional Big Basket_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_odis_reg,1,One and Done In-Store,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_2,One and Done In-Store_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_nkc_odol_reg,1,One and Done Online,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_2,One and Done Online_Existing Customer_Non Loyalist_Non Kohl's Charge_Regular
ex_nloy_kc_other_reg,1,Sales - Other,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_2,Sales - Other_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_dcp_reg,1,Discount Cherry Picker,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_2,Discount Cherry Picker_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_fsloy_reg,1,Kohl's Full Store Loyalist,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_2,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_iseth_reg,1,Kohl's In-Store Enthusiast,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_2,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_kids_reg,1,Kohl's Kids,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_2,Kohl's Kids_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_mens_reg,1,Kohl's Mens,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_2,Kohl's Mens_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_oleth_reg,1,Kohl's Online Enthusiast,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_2,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_missex_reg,1,Misses Exclusive,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_2,Misses Exclusive_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_ocbb_reg,1,Occasional Big Basket,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_2,Occasional Big Basket_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_odis_reg,1,One and Done In-Store,Sales,Existing Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_2,One and Done In-Store_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_nloy_kc_odol_reg,1,One and Done Online,Sales,Existing Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_2,One and Done Online_Existing Customer_Non Loyalist_Kohl's Charge_Regular
ex_loy_nkc_other_reg,1,Sales - Other,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Sales - Other,m_2,Sales - Other_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_dcp_reg,1,Discount Cherry Picker,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_2,Discount Cherry Picker_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_fsloy_reg,1,Kohl's Full Store Loyalist,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_2,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_iseth_reg,1,Kohl's In-Store Enthusiast,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_2,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_kids_reg,1,Kohl's Kids,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Kids,m_2,Kohl's Kids_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_mens_reg,1,Kohl's Mens,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Mens,m_2,Kohl's Mens_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_oleth_reg,1,Kohl's Online Enthusiast,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_2,Kohl's Online Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_missex_reg,1,Misses Exclusive,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Misses Exclusive,m_2,Misses Exclusive_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_ocbb_reg,1,Occasional Big Basket,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Occasional Big Basket,m_2,Occasional Big Basket_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_odis_reg,1,One and Done In-Store,Sales,Existing Customer,Loyalist,Non Kohl's Charge,One and Done In-Store,m_2,One and Done In-Store_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_nkc_odol_reg,1,One and Done Online,Sales,Existing Customer,Loyalist,Non Kohl's Charge,One and Done Online,m_2,One and Done Online_Existing Customer_Loyalist_Non Kohl's Charge_Regular
ex_loy_kc_other_reg,1,Sales - Other,Sales,Existing Customer,Loyalist,Kohl's Charge,Sales - Other,m_2,Sales - Other_Existing Customer_Loyalist_Kohl's Charge_Regular
ex_loy_kc_dcp_reg,1,Discount Cherry Picker,Sales,Existing Customer,Loyalist,Kohl's Charge,Discount Cherry Picker,m_2,Discount Cherry Picker_Existing Customer_Loyalist_Kohl's Charge_Regular
ex_loy_kc_fsloy_reg,1,Kohl's Full Store Loyalist,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_2,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Kohl's Charge_Regular
ex_loy_kc_iseth_reg,1,Kohl's In-Store Enthusiast,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_2,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Kohl's Charge_Regular
